sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
5377,48.296618693115,-118.821846705431,United States,Washington,Ferry,-8,19.4970065185547,50.1432658494191,25.0627662095825,2.571844339370729
5378,48.3198573639503,-118.662056149152,United States,Washington,Ferry,-8,17.2851389648438,46.2407419451808,33.1217402385381,2.675173282623283
5379,48.3429366679142,-118.502134201136,United States,Washington,Ferry,-8,15.9944397583008,43.694893093674,51.9142921678724,2.7318801879882795
5380,48.3658563949152,-118.342081610602,United States,Washington,Ferry,-8,10.4033603759766,28.7487436063829,25.3625519293344,2.763409376144403
5381,48.388616335808,-118.181899130971,United States,Washington,Stevens,-8,16.7016423339844,45.7234767324239,10.9965389565666,2.7376635074615416
5382,48.4112162824047,-118.021587519855,United States,Washington,Stevens,-8,7.30726193847656,19.3631733888275,15.4987337521542,2.6498534679412895
5383,48.4336560274858,-117.861147539041,United States,Washington,Stevens,-8,4.93801243286133,12.4725977533222,1.55823376490863,2.5258336067199725
5384,48.4559353648112,-117.700579954478,United States,Washington,Stevens,-8,0.0081,0.019738110923767,17.1804999872456,2.4368038177490123
5385,48.4780540891316,-117.539885536265,United States,Washington,Pend Oreille,-8,2.08886388244629,5.45010128786197,17.4222662223369,2.6091222763061515
5386,48.5000119961992,-117.379065058631,United States,Washington,Pend Oreille,-8,3.87250177917481,10.1389077729961,1.56727922061358,2.6181802749633847
5387,48.5218088827788,-117.218119299923,United States,Washington,Pend Oreille,-8,18.0268011474609,47.9310235884278,5.17742207411231,2.658875703811652
5388,48.543444546659,-117.05704904259,United States,Washington,Pend Oreille,-8,5.72104819335937,15.4098563335305,17.8157986925197,2.693537235260015
